finding_id,interview_id,interview_date,segment,target_fit,finding_type,metric_value,metric_unit,metric_period,finding_summary,current_workaround,purchase_intent,pilot_intent,decision_maker,evidence_level,limitation
FND-E9-001,INT-E9-MFG-001,NOT_RECORDED,E9_MANUFACTURING_LARGE,DIRECT_E9_MANUFACTURING,SCALE,10,worker,current,E-9 근로자 약 10명을 관리,NOT_APPLICABLE,NOT_ASKED,NOT_ASKED,NOT_ASKED,DIRECT_SELF_REPORT,대기업이자 장기 고용 경험이 있어 초기 도입 사업장과 업무조건이 다름
FND-E9-002,INT-E9-MFG-001,NOT_RECORDED,E9_MANUFACTURING_LARGE,DIRECT_E9_MANUFACTURING,NEED,NOT_MEASURED,NOT_MEASURED,recurring,가장 부담되는 업무로 고용센터와 출입국 관련 신고 절차를 지목,기관별 서류 흐름을 경험으로 처리,NOT_ASKED,NOT_ASKED,NOT_ASKED,DIRECT_SELF_REPORT,신고 유형별 건수와 재작업 횟수는 측정하지 못함
FND-E9-003,INT-E9-MFG-001,NOT_RECORDED,E9_MANUFACTURING_LARGE,DIRECT_E9_MANUFACTURING,BASELINE,1-2,hour,week,E-9 서류와 신고 업무에 익숙한 담당자의 주간 소요시간,담당자가 직접 처리,NOT_ASKED,NOT_ASKED,NOT_ASKED,DIRECT_SELF_REPORT,업무 1건당 시간이 아니라 전체 주간 소요시간
FND-E9-004,INT-E9-MFG-001,NOT_RECORDED,E9_MANUFACTURING_LARGE,DIRECT_E9_MANUFACTURING,WORKAROUND,NOT_MEASURED,NOT_MEASURED,event_based,계약과 체류 갱신 시점을 모두 기억하지 않고 우편이나 문자 알림을 기준으로 처리,외부기관 우편과 문자 알림,NOT_ASKED,NOT_ASKED,NOT_ASKED,DIRECT_SELF_REPORT,알림 누락 경험과 선제 준비기간은 확인하지 못함
FND-E9-005,INT-E9-MFG-001,NOT_RECORDED,E9_MANUFACTURING_LARGE,DIRECT_E9_MANUFACTURING,COUNTER_EVIDENCE,rare,occurrence,current,해당 사업장에서는 재설명과 소통 문제가 거의 없다고 응답,한국어가 가능한 같은 국적 근로자와 외부 지원자에게 통역 요청,NOT_ASKED,NOT_ASKED,NOT_ASKED,DIRECT_SELF_REPORT,통역자 부재 시 비용과 지연시간은 확인하지 못함
FND-E9-006,INT-E9-MFG-001,NOT_RECORDED,E9_MANUFACTURING_LARGE,DIRECT_E9_MANUFACTURING,NEED,NOT_MEASURED,NOT_MEASURED,occasional,근로자가 회사에 반복 요청하는 서류는 많지 않고 재직증명서가 대표 사례,담당자가 요청 시 발급,NOT_ASKED,NOT_ASKED,NOT_ASKED,DIRECT_SELF_REPORT,서류 발급 빈도와 처리시간은 미측정
FND-E9-007,INT-E9-MFG-001,NOT_RECORDED,E9_MANUFACTURING_LARGE,DIRECT_E9_MANUFACTURING,OPINION,NOT_MEASURED,NOT_MEASURED,initial_adoption,처음 외국인근로자를 고용하는 사업장은 신고 절차를 더 어렵게 느낄 수 있다고 응답,NOT_APPLICABLE,NOT_ASKED,NOT_ASKED,NOT_ASKED,RESPONDENT_OPINION,직접 관찰이 아닌 경력자의 추정이므로 초보 담당자 재검증 필요
FND-ADJ-001,INT-ADJ-20260713,2026-07-13,FOREIGN_EXPORT_ADMIN,ADJACENT_MULTILINGUAL_ADMIN,NEED,NOT_MEASURED,NOT_MEASURED,recurring,서류 한 장의 누락이나 유효기간 초과로 구청 접수가 거절되고 재방문 발생,엑셀 확인 후 상대 업체에 재요청,POSITIVE_CONDITIONAL,YES,OWNER,DIRECT_SELF_REPORT,E-9 제조업 고용행정이 아닌 외국계 수출업 행정 사례
FND-ADJ-002,INT-ADJ-20260713,2026-07-13,FOREIGN_EXPORT_ADMIN,ADJACENT_MULTILINGUAL_ADMIN,WORKAROUND,4,tool_type,current,엑셀·홈택스·메신저·번역기를 오가며 서류와 후속조치를 확인,엑셀과 파파고 및 메신저를 수동 병행,POSITIVE_CONDITIONAL,YES,OWNER,DIRECT_SELF_REPORT,실제 사용 도구 수는 최소 확인치이며 전체 시스템 수가 아님
FND-ADJ-003,INT-ADJ-20260713,2026-07-13,FOREIGN_EXPORT_ADMIN,ADJACENT_MULTILINGUAL_ADMIN,NEED,NOT_MEASURED,NOT_MEASURED,recurring,행정용어는 단순 번역만으로 다음 행동이 전달되지 않아 한국어 가능 직원에게 중개를 요청,한국어 가능 귀화 직원과 파파고 활용,POSITIVE_CONDITIONAL,YES,OWNER,DIRECT_SELF_REPORT,언어별 오류율과 중개 소요시간은 미측정
FND-ADJ-004,INT-ADJ-20260713,2026-07-13,FOREIGN_EXPORT_ADMIN,ADJACENT_MULTILINGUAL_ADMIN,PURCHASE,NOT_MEASURED,KRW,month,소통 지원과 서류 만료 검증 기능에 회사 차원의 비용 지불을 조건부 검토할 의사,회사 예산은 사업주가 판단,POSITIVE_CONDITIONAL,YES,OWNER,DIRECT_SELF_REPORT,월 허용가격은 응답자가 결정할 수 없어 미확인
FND-ADJ-005,INT-ADJ-20260713,2026-07-13,FOREIGN_EXPORT_ADMIN,ADJACENT_MULTILINGUAL_ADMIN,PILOT,2,week,one_time,무료 파일럿이라면 사용해볼 의사,프로토타입 사용 후 판단,POSITIVE_CONDITIONAL,YES,OWNER,DIRECT_SELF_REPORT,실제 파일럿 참여 일정과 데이터 제공 범위는 미확정
FND-ADJ-006,INT-ADJ-20260713,2026-07-13,FOREIGN_EXPORT_ADMIN,ADJACENT_MULTILINGUAL_ADMIN,LIMITATION,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,월 발생 건수와 건당 처리시간 및 재작업률은 인터뷰에서 확보하지 못함,NOT_APPLICABLE,POSITIVE_CONDITIONAL,YES,OWNER,DIRECT_SELF_REPORT,정량 기대효과 산출 전 파일럿 기준선 측정 필요
